[2025-06-21T18:37:29.148+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between LAC and PHI.
[2025-06-21T18:37:36.243+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between SAC and TOR.
[2025-06-21T18:37:43.148+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between CHI and MIN.
[2025-06-21T18:37:49.919+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between MIL and UTA.
[2025-06-21T18:37:56.709+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between SAS and POR.
[2025-06-21T18:38:03.698+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CHO and IND.
[2025-06-21T18:38:10.704+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DET and ATL.
[2025-06-21T18:38:17.736+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between ORL and NOP.
[2025-06-21T18:38:24.491+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between BOS and BRK.
[2025-06-21T18:38:31.406+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CLE and GSW.
[2025-06-21T18:38:38.112+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between NYK and MIL.
[2025-06-21T18:38:44.817+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DAL and PHO.
[2025-06-21T18:38:51.550+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MEM and WAS.
[2025-06-21T18:38:58.695+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between OKC and HOU.
[2025-06-21T18:39:05.543+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MIN and POR.
[2025-06-21T18:39:12.336+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DEN and MIA.
[2025-06-21T18:39:19.119+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between LAL and PHI.
[2025-06-21T18:39:26.022+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between SAC and LAC.
[2025-06-21T18:39:33.109+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between SAS and UTA.
[2025-06-21T18:39:39.995+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between ATL and CHI.
[2025-06-21T18:39:46.827+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between CLE and BRK.
[2025-06-21T18:39:53.627+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between LAC and TOR.
[2025-06-21T18:40:01.537+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DET and HOU.
[2025-06-21T18:40:08.307+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIL and BOS.
[2025-06-21T18:40:15.282+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between IND and NYK.
[2025-06-21T18:40:22.357+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between ORL and WAS.
[2025-06-21T18:40:29.164+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-21T18:40:35.947+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-21T18:40:42.594+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-21T18:40:49.373+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-21T18:40:56.314+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-21T18:41:03.006+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-21T18:41:09.828+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-21T18:41:17.083+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-21T18:41:23.982+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-21T18:41:30.729+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-21T18:41:37.516+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-21T18:41:44.131+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-21T18:41:51.211+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-21T18:41:58.299+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-21T18:42:05.423+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-21T18:42:12.322+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-21T18:42:19.117+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-21T18:42:25.758+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-21T18:42:32.457+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-21T18:42:39.107+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-21T18:42:45.972+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-21T18:42:52.868+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-21T18:42:59.554+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-21T18:43:06.617+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-21T18:43:13.374+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-21T18:43:20.573+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-21T18:43:27.715+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-21T18:43:34.373+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-21T18:43:41.075+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-21T18:43:47.836+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-21T18:43:54.654+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-21T18:44:01.574+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-21T18:44:08.626+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-21T18:44:15.660+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-21T18:44:22.480+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-21T18:44:29.248+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-21T18:44:35.935+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-21T18:44:42.771+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-21T18:44:49.683+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-21T18:44:56.325+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between HOU and LAC.
