Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
15.0,Marcus Smart,30.0,PG,15,1,18.7,3.2,7.3,0.44,1.3,3.4,0.392,1.9,3.9,0.483,0.532,1.6,2.3,0.686,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,9.3,,WAS
16.0,Jaylen Martin,21.0,SF,13,0,18.0,2.3,5.5,0.417,0.5,1.7,0.273,1.8,3.8,0.48,0.458,0.7,0.8,0.9,0.8,2.5,3.4,1.3,0.7,0.0,0.9,1.0,5.8,,WAS
17.0,Richaun Holmes,31.0,PF,31,7,17.2,2.9,4.5,0.647,0.0,0.1,0.0,2.9,4.4,0.662,0.647,1.6,1.9,0.833,2.0,3.7,5.7,1.4,0.3,0.7,0.7,1.6,7.4,,WAS
18.0,Tristan Vukcevic,21.0,C,35,1,14.7,3.4,6.9,0.496,1.1,2.9,0.373,2.3,4.0,0.586,0.574,1.5,1.9,0.776,0.7,3.0,3.7,1.1,0.3,0.7,1.2,1.6,9.4,,WAS
19.0,Jared Butler,24.0,PG,32,0,11.3,2.7,5.5,0.483,0.5,1.3,0.366,2.2,4.2,0.519,0.526,1.1,1.4,0.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9,,WAS
20.0,Marvin Bagley III,25.0,C,19,1,8.7,2.0,3.7,0.535,0.1,0.5,0.2,1.9,3.2,0.59,0.549,0.8,1.2,0.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,,WAS
21.0,Anthony Gill,32.0,PF,51,0,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.1,0.579,0.545,0.6,1.0,0.66,0.4,0.9,1.3,0.3,0.2,0.0,0.2,0.6,2.5,,WAS
22.0,Johnny Davis,22.0,SG,34,0,7.1,0.9,2.3,0.41,0.2,0.9,0.241,0.7,1.4,0.51,0.455,0.3,0.4,0.6,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,,WAS
23.0,Patrick Baldwin Jr.,22.0,SF,22,0,4.6,0.8,1.5,0.515,0.5,1.0,0.524,0.3,0.5,0.5,0.682,0.1,0.2,0.5,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,,WAS
24.0,Jalen McDaniels,27.0,SF,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,WAS
,Team Totals,,,82,82,240.6,39.4,89.9,0.439,13.1,39.1,0.335,26.3,50.7,0.519,0.512,16.0,20.6,0.778,10.6,33.1,43.7,25.1,7.6,5.1,15.6,19.7,108.0,,WAS
