home_team,away_team,date,arena,city,state,game_type
BOS,CHO,2025-04-11,TD Garden,Boston,MA,Regular Season
NYK,CLE,2025-04-11,Madison Square Garden,New York,NY,Regular Season
CHI,WAS,2025-04-11,United Center,Chicago,IL,Regular Season
NOP,MIA,2025-04-11,Smoothie King Center,New Orleans,LA,Regular Season
DAL,TOR,2025-04-11,American Airlines Center,Dallas,TX,Regular Season
MIN,BRK,2025-04-11,Target Center,Minneapolis,MN,Regular Season
DEN,MEM,2025-04-11,Ball Arena,Denver,CO,Regular Season
UTA,OKC,2025-04-11,Delta Center,Salt Lake City,UT,Regular Season
PHO,SAS,2025-04-11,PHX Arena,Phoenix,AZ,Regular Season
POR,GSW,2025-04-11,Moda Center,Portland,OR,Regular Season
SAC,LAC,2025-04-11,Golden 1 Center,Sacramento,CA,Regular Season
LAL,HOU,2025-04-11,Crypto.com Arena,Los Angeles,CA,Regular Season
ATL,ORL,2025-04-13,State Farm Arena,Atlanta,GA,Regular Season
BOS,CHO,2025-04-13,TD Garden,Boston,MA,Regular Season
BRK,NYK,2025-04-13,Barclays Center,Brooklyn,NY,Regular Season
CLE,IND,2025-04-13,Rocket Arena,Cleveland,OH,Regular Season
MIA,WAS,2025-04-13,Kaseya Center,Miami,FL,Regular Season
PHI,CHI,2025-04-13,Wells Fargo Center,Philadelphia,PA,Regular Season
MIL,DET,2025-04-13,Fiserv Forum,Milwaukee,WI,Regular Season
HOU,DEN,2025-04-13,Toyota Center,Houston,TX,Regular Season
MEM,DAL,2025-04-13,FedExForum,Memphis,TN,Regular Season
MIN,UTA,2025-04-13,Target Center,Minneapolis,MN,Regular Season
NOP,OKC,2025-04-13,Smoothie King Center,New Orleans,LA,Regular Season
SAS,TOR,2025-04-13,Frost Bank Center,San Antonio,TX,Regular Season
GSW,LAC,2025-04-13,Chase Center,San Francisco,CA,Regular Season
POR,LAL,2025-04-13,Moda Center,Portland,OR,Regular Season
SAC,PHO,2025-04-13,Golden 1 Center,Sacramento,CA,Regular Season
ORL,ATL,2025-04-15,Kia Center,Orlando,FL,SoFi Play-In Tournament
GSW,MEM,2025-04-15,Chase Center,San Francisco,CA,SoFi Play-In Tournament
CHI,MIA,2025-04-16,United Center,Chicago,IL,SoFi Play-In Tournament
SAC,DAL,2025-04-16,Golden 1 Center,Sacramento,CA,SoFi Play-In Tournament
ATL,MIA,2025-04-18,State Farm Arena,Atlanta,GA,SoFi Play-In Tournament
MEM,DAL,2025-04-18,FedExForum,Memphis,TN,SoFi Play-In Tournament
NYK,DET,2025-04-19,Madison Square Garden,New York,NY,East First Round
IND,MIL,2025-04-19,Gainbridge Fieldhouse,Indianapolis,IN,East First Round
LAL,MIN,2025-04-19,Crypto.com Arena,Los Angeles,CA,West First Round
DEN,LAC,2025-04-19,Ball Arena,Denver,CO,West First Round
CLE,MIA,2025-04-20,Rocket Arena,Cleveland,OH,East First Round
BOS,ORL,2025-04-20,TD Garden,Boston,MA,East First Round
OKC,MEM,2025-04-20,Paycom Center,Oklahoma City,OK,West First Round
HOU,GSW,2025-04-20,Toyota Center,Houston,TX,West First Round
NYK,DET,2025-04-21,Madison Square Garden,New York,NY,East First Round
DEN,LAC,2025-04-21,Ball Arena,Denver,CO,West First Round
IND,MIL,2025-04-22,Gainbridge Fieldhouse,Indianapolis,IN,East First Round
OKC,MEM,2025-04-22,Paycom Center,Oklahoma City,OK,West First Round
LAL,MIN,2025-04-22,Crypto.com Arena,Los Angeles,CA,West First Round
CLE,MIA,2025-04-23,Rocket Arena,Cleveland,OH,East First Round
BOS,ORL,2025-04-23,TD Garden,Boston,MA,East First Round
HOU,GSW,2025-04-23,Toyota Center,Houston,TX,West First Round
DET,NYK,2025-04-24,Little Caesars Arena,Detroit,MI,East First Round
MEM,OKC,2025-04-24,FedExForum,Memphis,TN,West First Round
LAC,DEN,2025-04-24,Intuit Dome,Inglewood,CA,West First Round
ORL,BOS,2025-04-25,Kia Center,Orlando,FL,East First Round
MIL,IND,2025-04-25,Fiserv Forum,Milwaukee,WI,East First Round
MIN,LAL,2025-04-25,Target Center,Minneapolis,MN,West First Round
MIA,CLE,2025-04-26,Kaseya Center,Miami,FL,East First Round
MEM,OKC,2025-04-26,FedExForum,Memphis,TN,West First Round
GSW,HOU,2025-04-26,Chase Center,San Francisco,CA,West First Round
LAC,DEN,2025-04-26,Intuit Dome,Inglewood,CA,West First Round
ORL,BOS,2025-04-27,Kia Center,Orlando,FL,East First Round
DET,NYK,2025-04-27,Little Caesars Arena,Detroit,MI,East First Round
MIL,IND,2025-04-27,Fiserv Forum,Milwaukee,WI,East First Round
MIN,LAL,2025-04-27,Target Center,Minneapolis,MN,West First Round
MIA,CLE,2025-04-28,Kaseya Center,Miami,FL,East First Round
GSW,HOU,2025-04-28,Chase Center,San Francisco,CA,West First Round
BOS,ORL,2025-04-29,TD Garden,Boston,MA,East First Round
NYK,DET,2025-04-29,Madison Square Garden,New York,NY,East First Round
IND,MIL,2025-04-29,Gainbridge Fieldhouse,Indianapolis,IN,East First Round
DEN,LAC,2025-04-29,Ball Arena,Denver,CO,West First Round
HOU,GSW,2025-04-30,Toyota Center,Houston,TX,West First Round
LAL,MIN,2025-04-30,Crypto.com Arena,Los Angeles,CA,West First Round
DET,NYK,2025-05-01,Little Caesars Arena,Detroit,MI,East First Round
LAC,DEN,2025-05-01,Intuit Dome,Inglewood,CA,West First Round
GSW,HOU,2025-05-02,Chase Center,San Francisco,CA,West First Round
DEN,LAC,2025-05-03,Ball Arena,Denver,CO,West First Round
HOU,GSW,2025-05-04,Toyota Center,Houston,TX,West First Round
CLE,IND,2025-05-04,Rocket Arena,Cleveland,OH,East Conf. Semifinals
BOS,NYK,2025-05-05,TD Garden,Boston,MA,East Conf. Semifinals
OKC,,2025-05-05,Paycom Center,Oklahoma City,OK,West Conf. Semifinals
CLE,IND,2025-05-06,Rocket Arena,Cleveland,OH,East Conf. Semifinals
,,0001-01-01,,,,West Conf. Semifinals
BOS,NYK,2025-05-07,TD Garden,Boston,MA,East Conf. Semifinals
OKC,,2025-05-07,Paycom Center,Oklahoma City,OK,West Conf. Semifinals
,,0001-01-01,,,,West Conf. Semifinals
IND,CLE,2025-05-09,Gainbridge Fieldhouse,Indianapolis,IN,East Conf. Semifinals
,OKC,0001-01-01,,,,West Conf. Semifinals
NYK,BOS,2025-05-10,Madison Square Garden,New York,NY,East Conf. Semifinals
,,0001-01-01,,,,West Conf. Semifinals
IND,CLE,2025-05-11,Gainbridge Fieldhouse,Indianapolis,IN,East Conf. Semifinals
,OKC,0001-01-01,,,,West Conf. Semifinals
NYK,BOS,2025-05-12,Madison Square Garden,New York,NY,East Conf. Semifinals
,,0001-01-01,,,,West Conf. Semifinals
CLE,IND,2025-05-13,Rocket Arena,Cleveland,OH,East Conf. Semifinals
BOS,NYK,2025-05-14,TD Garden,Boston,MA,East Conf. Semifinals
IND,CLE,2025-05-15,Gainbridge Fieldhouse,Indianapolis,IN,East Conf. Semifinals
NYK,BOS,2025-05-16,Madison Square Garden,New York,NY,East Conf. Semifinals
CLE,IND,2025-05-18,Rocket Arena,Cleveland,OH,East Conf. Semifinals
BOS,NYK,2025-05-19,TD Garden,Boston,MA,East Conf. Semifinals
