NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,team
0,Max Christie,SG,6-6,190.0,2003-02-10,US US,2,Michigan State,WAS
0,Dante Exum,PG,6-5,214.0,1995-07-13,AU AU,7,,WAS
16,Caleb Martin,SF,6-5,205.0,1995-09-28,US US,5,"NC State, Nevada",WAS
23,Kai Jones (TW),C,6-11,218.0,2001-01-19,BS BS,2,Texas,WAS
3,Anthony Davis,PF,6-10,253.0,1993-03-11,US US,12,Kentucky,WAS
0.0,Christian Braun,SG,6-6,218.0,2001-04-17,US US,2,Kansas,WAS
1.0,Michael Porter Jr.,SF,6-10,218.0,1998-06-29,US US,5,Missouri,WAS
4.0,Russell Westbrook,PG,6-4,200.0,1988-11-12,US US,16,UCLA,WAS
15.0,Nikola Jokić,C,6-11,284.0,1995-02-19,RS RS,9,,WAS
8.0,Peyton Watson,SF,6-8,200.0,2002-09-11,US US,2,UCLA,WAS
27.0,Jamal Murray,PG,6-4,215.0,1997-02-23,CA CA,7,Kentucky,WAS
3.0,Julian Strawther,SG,6-7,205.0,2002-04-18,US US,1,Gonzaga,WAS
22.0,Zeke Nnaji,PF,6-9,240.0,2001-01-09,US US,4,Arizona,WAS
6.0,DeAndre Jordan,C,6-11,265.0,1988-07-21,US US,16,Texas A&M,WAS
32.0,Aaron Gordon,PF,6-8,235.0,1995-09-16,US US,10,Arizona,WAS
5.0,Hunter Tyson,PF,6-8,215.0,2000-06-13,US US,1,Clemson,WAS
24.0,Jalen Pickett,SG,6-4,209.0,1999-10-22,US US,1,"Siena College, Penn State",WAS
23.0,Trey Alexander (TW),SG,6-4,185.0,2003-05-02,US US,R,Creighton,WAS
21.0,Spencer Jones (TW),SF,6-7,225.0,2001-06-14,US US,R,Stanford,WAS
13.0,PJ Hall (TW),C,6-8,245.0,2002-02-21,US US,R,Clemson,WAS
9.0,Dario Šarić,C,6-10,225.0,1994-04-08,HR HR,7,,WAS
31.0,Vlatko Čančar,PF,6-8,236.0,1997-04-10,SI SI,4,,WAS
,DaRon Holmes,PF,6-10,225.0,2002-08-15,US US,R,Dayton,WAS
5,Malik Beasley,SG,6-4,187.0,1996-11-26,US US,8,Florida State,WAS
0,Ron Holland,SF,6-8,206.0,2005-07-07,US US,R,,WAS
0,Jalen Duren,C,6-10,250.0,2003-11-18,US US,2,Memphis,WAS
8,Tim Hardaway Jr.,SG,6-5,205.0,1992-03-16,US US,11,Michigan,WAS
19,Simone Fontecchio,SF,6-8,209.0,1995-12-09,IT IT,2,,WAS
12,Tobias Harris,PF,6-8,226.0,1992-07-15,US US,13,Tennessee,WAS
28,Isaiah Stewart,C,6-8,250.0,2001-05-22,US US,4,Washington,WAS
2,Cade Cunningham,PG,6-6,220.0,2001-09-25,US US,3,Oklahoma State,WAS
9,Ausar Thompson,SF,6-7,215.0,2003-01-30,US US,1,,WAS
25,Marcus Sasser,PG,6-2,195.0,2000-09-21,US US,1,Houston,WAS
7,Paul Reed,C,6-9,210.0,1999-06-14,US US,4,DePaul,WAS
23,Jaden Ivey,SG,6-4,195.0,2002-02-13,US US,2,Purdue,WAS
17,Dennis Schröder,PG,6-1,172.0,1993-09-15,DE DE,11,,WAS
43,Lindy Waters III,SG,6-6,215.0,1997-07-28,US US,3,Oklahoma State,WAS
34,Bobi Klintman,SF,6-9,225.0,2003-03-06,SE SE,R,Wake Forest,WAS
24,Daniss Jenkins (TW),PG,6-3,165.0,2001-08-17,US US,R,"University of the Pacific, Iona College, St. John's",WAS
35,Tolu Smith (TW),PF,6-10,254.0,2000-07-26,US US,R,"Western Kentucky, Mississippi State",WAS
13,Ron Harper Jr. (TW),SF,6-6,245.0,2000-04-12,US US,2,Rutgers University,WAS
7.0,Buddy Hield,SG,6-4,220.0,1992-12-17,BS BS,8,Oklahoma,WAS
5.0,Kevon Looney,C,6-9,222.0,1996-02-06,US US,9,UCLA,WAS
4.0,Moses Moody,SG,6-5,205.0,2002-05-31,US US,3,Arkansas,WAS
30.0,Stephen Curry,PG,6-2,185.0,1988-03-14,US US,15,Davidson,WAS
23.0,Draymond Green,PF,6-6,230.0,1990-03-04,US US,12,Michigan State,WAS
2.0,Brandin Podziemski,SG,6-5,205.0,2003-02-25,US US,1,"Illinois, Santa Clara",WAS
32.0,Trayce Jackson-Davis,C,6-9,245.0,2000-02-22,US US,1,Indiana,WAS
0.0,Gary Payton II,SG,6-2,190.0,1992-12-01,US US,8,Oregon State,WAS
15.0,Gui Santos,PF,6-8,209.0,2002-06-22,BR BR,1,,WAS
0.0,Jonathan Kuminga,PF,6-8,210.0,2002-10-06,CD CD,3,,WAS
21.0,Quinten Post,PF,7-0,238.0,2000-03-21,NL NL,R,"Mississippi State, Boston College",WAS
61.0,Pat Spencer,PG,6-3,205.0,1996-07-04,US US,1,"Loyola (MD), Northwestern",WAS
10.0,Jimmy Butler,SF,6-7,230.0,1989-09-14,US US,13,"Tyler Junior College, Marquette",WAS
31.0,Kevin Knox,SF,6-7,215.0,1999-08-11,US US,6,Kentucky,WAS
44.0,Jackson Rowe (TW),PF,6-7,210.0,1997-01-04,CA CA,R,Cal State Fullerton,WAS
12.0,Braxton Key,SF,6-8,230.0,1997-02-14,US US,3,"Alabama, Virginia",WAS
,Taran Armstrong (TW),PG,6-6,,2002-01-15,AU AU,R,California Baptist University,WAS
4,Jalen Green,SG,6-4,178.0,2002-02-09,US US,3,,WAS
28,Alperen Şengün,C,6-11,235.0,2002-07-25,TR TR,3,,WAS
