[2025-06-19T14:49:52.170+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between PHO and POR.
[2025-06-19T14:49:59.120+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between LAC and OKC.
[2025-06-19T14:50:06.121+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-03 between BRK and DET.
[2025-06-19T14:50:12.129+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-03 between NOP and ATL.
[2025-06-19T14:50:19.132+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-03 between DAL and ORL.
[2025-06-19T14:50:26.733+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between CLE and MIL.
[2025-06-19T14:50:33.740+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between WAS and GSW.
[2025-06-19T14:50:39.606+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between DET and LAL.
[2025-06-19T14:50:46.483+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between ATL and BOS.
[2025-06-19T14:50:53.551+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between BRK and MEM.
[2025-06-19T14:51:00.480+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between MIA and SAC.
[2025-06-19T14:51:07.638+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between CHI and UTA.
[2025-06-19T14:51:13.755+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between HOU and NYK.
[2025-06-19T14:51:20.621+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between MIN and CHO.
[2025-06-19T14:51:27.676+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between OKC and ORL.
[2025-06-19T14:51:34.553+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between NOP and POR.
[2025-06-19T14:51:40.369+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between DAL and IND.
[2025-06-19T14:51:47.209+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between DEN and TOR.
[2025-06-19T14:51:54.272+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between PHO and PHI.
[2025-06-19T14:52:01.143+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-04 between LAC and SAS.
[2025-06-19T14:52:07.030+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between CHO and DET.
[2025-06-19T14:52:13.960+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between IND and ORL.
[2025-06-19T14:52:21.097+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between ATL and NYK.
[2025-06-19T14:52:27.982+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between BOS and GSW.
[2025-06-19T14:52:34.824+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between HOU and SAS.
[2025-06-19T14:52:40.454+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between MEM and LAL.
[2025-06-19T14:52:47.508+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between NOP and CLE.
[2025-06-19T14:52:54.662+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between DAL and CHI.
[2025-06-19T14:53:01.583+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between DEN and OKC.
[2025-06-19T14:53:07.304+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between PHO and MIA.
[2025-06-19T14:53:14.333+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between LAC and PHI.
[2025-06-19T14:53:21.443+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-06 between SAC and TOR.
[2025-06-19T14:53:28.415+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-07 between CHI and MIN.
[2025-06-19T14:53:34.141+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-07 between MIL and UTA.
[2025-06-19T14:53:41.181+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-07 between SAS and POR.
[2025-06-19T14:53:48.246+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between CHO and IND.
[2025-06-19T14:53:55.075+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between DET and ATL.
[2025-06-19T14:54:00.787+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between ORL and NOP.
[2025-06-19T14:54:05.001+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between BOS and BRK.
[2025-06-19T14:54:12.331+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between CLE and GSW.
[2025-06-19T14:54:19.300+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between NYK and MIL.
[2025-06-19T14:54:26.186+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between DAL and PHO.
[2025-06-19T14:54:32.065+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between MEM and WAS.
[2025-06-19T14:54:38.933+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between OKC and HOU.
[2025-06-19T14:54:45.842+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between MIN and POR.
[2025-06-19T14:54:53.139+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between DEN and MIA.
[2025-06-19T14:54:58.871+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between LAL and PHI.
[2025-06-19T14:55:05.758+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-08 between SAC and LAC.
[2025-06-19T14:55:12.736+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-09 between SAS and UTA.
[2025-06-19T14:55:19.989+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-09 between ATL and CHI.
[2025-06-19T14:55:26.900+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-09 between CLE and BRK.
[2025-06-19T14:55:32.683+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-09 between LAC and TOR.
[2025-06-19T14:55:39.808+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between DET and HOU.
[2025-06-19T14:55:46.825+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between MIL and BOS.
[2025-06-19T14:55:54.005+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between IND and NYK.
[2025-06-19T14:55:59.861+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between ORL and WAS.
[2025-06-19T14:56:06.705+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-19T14:56:13.652+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-19T14:56:20.681+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-19T14:56:26.336+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-19T14:56:33.606+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-19T14:56:40.583+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-19T14:56:47.612+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-19T14:56:53.406+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-19T14:56:57.285+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-19T14:57:04.469+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-19T14:57:11.564+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-19T14:57:18.468+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-19T14:57:24.412+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-19T14:57:31.276+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-19T14:57:38.536+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-19T14:57:45.439+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between PHI and NYK.
