[2025-06-21T13:26:00.352+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between BOS and BRK.
[2025-06-21T13:26:07.097+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CLE and GSW.
[2025-06-21T13:26:13.841+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between NYK and MIL.
[2025-06-21T13:26:20.435+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DAL and PHO.
[2025-06-21T13:26:27.150+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MEM and WAS.
[2025-06-21T13:26:33.883+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between OKC and HOU.
[2025-06-21T13:26:40.592+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MIN and POR.
[2025-06-21T13:26:47.394+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DEN and MIA.
[2025-06-21T13:26:54.103+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between LAL and PHI.
[2025-06-21T13:27:00.822+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between SAC and LAC.
[2025-06-21T13:27:07.756+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between SAS and UTA.
[2025-06-21T13:27:14.341+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between ATL and CHI.
[2025-06-21T13:27:20.891+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between CLE and BRK.
[2025-06-21T13:27:27.755+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between LAC and TOR.
[2025-06-21T13:27:34.667+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DET and HOU.
[2025-06-21T13:27:41.368+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIL and BOS.
[2025-06-21T13:27:48.007+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between IND and NYK.
[2025-06-21T13:27:54.770+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between ORL and WAS.
