[2025-06-21T10:44:48.169+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-21T10:44:54.852+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-21T10:45:01.495+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-21T10:45:08.289+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-21T10:45:14.998+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-21T10:45:21.625+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-21T10:45:28.314+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-21T10:45:35.363+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-21T10:45:42.003+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-21T10:45:48.833+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-21T10:45:55.446+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-21T10:46:02.506+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-21T10:46:09.302+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-21T10:46:15.960+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-21T10:46:22.664+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-21T10:46:29.464+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-21T10:46:36.279+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-21T10:46:42.956+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-21T10:46:49.705+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-21T10:46:56.486+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-21T10:47:03.377+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-21T10:47:10.071+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-21T10:47:16.715+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between TOR and SAC.
[2025-06-21T10:47:23.704+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between HOU and GSW.
[2025-06-21T10:47:30.489+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between MIL and CLE.
[2025-06-21T10:47:37.103+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between SAS and MIN.
