[2025-06-21T22:52:45.759+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between PHO and POR.
[2025-06-21T22:52:52.385+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between LAC and OKC.
[2025-06-21T22:52:58.881+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-03 between BRK and DET.
[2025-06-21T22:53:05.404+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-03 between NOP and ATL.
[2025-06-21T22:53:13.309+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-03 between DAL and ORL.
[2025-06-21T22:53:19.753+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between CLE and MIL.
[2025-06-21T22:53:26.235+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between WAS and GSW.
[2025-06-21T22:53:32.741+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between DET and LAL.
[2025-06-21T22:53:39.408+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between ATL and BOS.
[2025-06-21T22:53:47.170+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between BRK and MEM.
[2025-06-21T22:53:53.639+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between MIA and SAC.
[2025-06-21T22:54:00.211+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between CHI and UTA.
[2025-06-21T22:54:06.841+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between HOU and NYK.
[2025-06-21T22:54:14.633+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between MIN and CHO.
[2025-06-21T22:54:21.228+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between OKC and ORL.
[2025-06-21T22:54:27.933+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between NOP and POR.
[2025-06-21T22:54:34.671+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between DAL and IND.
[2025-06-21T22:54:41.441+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between DEN and TOR.
[2025-06-21T22:54:49.245+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between PHO and PHI.
[2025-06-21T22:54:56.039+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-04 between LAC and SAS.
[2025-06-21T22:55:02.885+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between CHO and DET.
[2025-06-21T22:55:09.468+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between IND and ORL.
[2025-06-21T22:55:17.583+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between ATL and NYK.
[2025-06-21T22:55:24.341+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between BOS and GSW.
[2025-06-21T22:55:30.912+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between HOU and SAS.
[2025-06-21T22:55:37.550+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between MEM and LAL.
[2025-06-21T22:55:44.235+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between NOP and CLE.
[2025-06-21T22:55:52.402+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between DAL and CHI.
[2025-06-21T22:55:59.024+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between DEN and OKC.
[2025-06-21T22:56:05.601+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between PHO and MIA.
[2025-06-21T22:56:12.119+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between LAC and PHI.
[2025-06-21T22:56:20.199+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-06 between SAC and TOR.
[2025-06-21T22:56:27.305+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-07 between CHI and MIN.
[2025-06-21T22:56:33.871+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-07 between MIL and UTA.
[2025-06-21T22:56:40.502+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-07 between SAS and POR.
[2025-06-21T22:56:47.459+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between CHO and IND.
[2025-06-21T22:56:55.317+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between DET and ATL.
[2025-06-21T22:57:02.068+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between ORL and NOP.
